Date,Open,High,Low,Close,Adj Close,Volume
2018-10-19,56.849998,56.990002,56.400002,56.400002,45.582382,1427800
2018-10-22,56.509998,56.639999,56.060001,56.110001,45.348015,1093700
2018-10-23,55.320000,56.549999,55.230000,56.270000,45.477318,1834200
2018-10-24,56.270000,56.520000,55.439999,55.490002,44.846931,2006200
2018-10-25,55.790001,55.830002,55.180000,55.430000,44.798431,2173200
2018-10-26,54.900002,55.310001,54.369999,55.189999,44.604462,1435600
2018-10-29,55.590000,56.000000,54.770000,55.110001,44.539810,1245900
2018-10-30,55.169998,55.599998,54.660000,55.549999,44.895412,1554600
2018-10-31,55.970001,56.070000,55.419998,55.459999,44.822678,1721000
2018-11-01,55.930000,56.000000,55.290001,55.490002,44.846931,1559800
2018-11-02,55.740002,56.130001,55.169998,55.630001,44.960072,1363800
2018-11-05,55.709999,56.139999,55.709999,55.840000,45.129791,1805200
2018-11-06,55.799999,55.880001,55.400002,55.830002,45.121708,1106100
2018-11-07,56.160000,56.259998,55.919998,55.990002,45.251022,1201400
2018-11-08,56.070000,56.250000,55.700001,55.880001,45.162117,962200
2018-11-09,55.730000,55.900002,55.250000,55.459999,44.822678,935900
2018-11-12,55.500000,55.560001,54.750000,54.799999,44.289265,945100
2018-11-13,54.779999,55.599998,54.779999,55.169998,44.588287,1044000
2018-11-14,55.459999,55.650002,54.549999,55.020000,44.467068,1102300
2018-11-15,54.779999,55.549999,54.709999,55.369999,44.749935,1446700
2018-11-16,55.220001,55.349998,54.910000,55.180000,44.596382,1243400
2018-11-19,55.020000,55.090000,54.139999,54.410000,43.974068,1597600
2018-11-20,53.919998,53.970001,52.830002,52.919998,42.769852,1820200
2018-11-21,53.020000,54.130001,52.959999,53.700001,43.400246,1239800
2018-11-23,53.520000,53.860001,53.360001,53.689999,43.392159,609600
2018-11-26,54.299999,54.590000,54.110001,54.130001,43.747780,1077400
2018-11-27,54.080002,54.259998,53.799999,54.130001,43.747780,1406900
2018-11-28,54.340000,55.480000,54.279999,55.480000,44.838833,1774800
2018-11-29,55.660000,55.880001,54.950001,55.250000,44.652962,1149500
2018-11-30,54.970001,55.369999,54.950001,55.299999,44.693363,1453600
2018-12-03,56.320000,56.459999,54.910000,55.220001,44.628708,1384800
2018-12-04,54.900002,55.130001,54.169998,54.189999,43.796265,1907900
2018-12-06,53.259998,53.270000,51.959999,52.790001,42.664787,2507500
2018-12-07,53.009998,53.439999,52.439999,52.490002,42.422329,1928200
2018-12-10,52.349998,52.529999,51.779999,51.930000,41.969727,1740000
2018-12-11,52.459999,52.720001,51.770000,51.860001,41.913162,1706200
2018-12-12,52.459999,52.700001,52.080002,52.220001,42.204121,1694400
2018-12-13,52.349998,52.660000,52.110001,52.220001,42.204121,1461900
2018-12-14,51.830002,52.119999,51.730000,52.000000,42.026314,1630500
2018-12-17,51.810001,52.540001,51.070000,51.310001,41.468655,2091900
2018-12-18,51.310001,51.580002,50.750000,50.900002,41.137299,2129700
2018-12-19,51.060001,51.480000,50.040001,50.130001,40.514977,2578400
2018-12-20,49.849998,50.400002,49.590000,49.810001,40.256359,2343500
2018-12-21,49.689999,49.799999,48.740002,48.759998,39.407749,3111400
2018-12-24,48.430000,48.919998,48.240002,48.310001,39.044056,1280800
2018-12-26,48.250000,49.669998,47.730000,49.529999,40.030064,1210800
2018-12-27,49.049999,49.630001,48.599998,49.630001,40.110889,1750800
2018-12-28,49.919998,50.000000,49.430000,49.520000,40.021976,2313800
2018-12-31,49.869999,49.959999,49.549999,49.720001,40.183620,1262900
2019-01-02,49.330002,50.380001,49.000000,50.259998,40.620041,1438000
